ID,title,description,event_date,start_time,end_time,location,mandal_ID,has_fine,fine_amount,fine_deadline,createdAt,createdBy,modifiedAt,modifiedBy
29342429-28d6-4cf7-9555-5faf59340a79,Navkar Mantra Jaap,Collective chanting session of Navkar Mantra,2024-09-03,18:00:00,20:00:00,"Raiya Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,50.00,2024-09-10,2024-12-21T18:30:00.000Z,system,2023-10-27T18:30:00.000Z,system
29342430-6c04-49e8-8633-a3106f25c58f,Book Reading Session,Monthly Jain literature reading and discussion,2023-10-24,18:00:00,21:00:00,"Prahlad Nagar, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2024-06-10T18:30:00.000Z,system,2024-11-26T18:30:00.000Z,system
29342431-cb2b-4cec-86bb-8fbade86e3ee,Ahimsa Diwas,Non-violence awareness day program,2023-04-08,10:00:00,13:00:00,"Vesu, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,false,0.00,,2023-10-11T18:30:00.000Z,system,2024-11-02T18:30:00.000Z,system
29342432-1a12-4b54-9776-6b6fe5c904cb,Bhaktamar Stotra Path,Recitation of Bhaktamar Stotra,2023-05-10,19:00:00,21:00:00,"Pedak Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,50.00,2023-05-17,2023-05-30T18:30:00.000Z,system,2024-12-29T18:30:00.000Z,system
29342433-5d6a-42f5-849c-1e3e7929b7e2,Paryushan Mahaparv Day 11,Annual 8-day Jain festival of fasting and forgiveness,2023-11-26,10:00:00,14:00:00,"Ellis Bridge, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2023-12-03,2024-05-16T18:30:00.000Z,system,2023-05-26T18:30:00.000Z,system
29342434-3240-4084-9b5e-0a0725232181,Samvatsari Pratikraman,Annual forgiveness ceremony on last day of Paryushan,2024-08-14,19:00:00,22:00:00,"Citylight, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,200.00,2024-08-21,2024-01-20T18:30:00.000Z,system,2024-04-07T18:30:00.000Z,system
29342435-7f85-41c9-8cb6-8962c5486f43,Mahavir Jayanti Celebration,Celebration of Lord Mahavir's birth anniversary,2023-03-19,19:00:00,21:00:00,"150 Feet Ring Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,150.00,2023-03-26,2024-06-11T18:30:00.000Z,system,2023-10-12T18:30:00.000Z,system
29342436-4008-4d8a-b06c-614cdb431751,Das Lakshan Parv,10-day festival celebrating ten dharmas of Jainism,2024-12-12,16:00:00,19:00:00,"Paldi, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2024-12-19,2023-12-02T18:30:00.000Z,system,2024-08-18T18:30:00.000Z,system
29342437-245c-4d99-a10a-13ca4b0b7057,Monthly Satsang - November,Monthly spiritual gathering with discourse and bhajan,2023-01-03,19:00:00,21:00:00,"Pal, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,50.00,2023-01-10,2024-10-12T18:30:00.000Z,system,2024-11-11T18:30:00.000Z,system
29342438-ade1-4547-89f5-1ae94882a72c,Guru Purnima Celebration,Honoring teachers and gurus,2024-12-15,16:00:00,18:00:00,"150 Feet Ring Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,false,0.00,,2023-08-12T18:30:00.000Z,system,2024-03-15T18:30:00.000Z,system
29342439-fe88-4102-8a77-58b060cb1923,Diwali Milan Samaroh,Diwali get-together and celebration,2023-08-05,17:00:00,20:00:00,"CG Road, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2023-10-18T18:30:00.000Z,system,2023-12-12T18:30:00.000Z,system
29342440-c572-4c5b-a5cb-8512f954ed90,Annual General Meeting 2024,Yearly mandal AGM for committee elections,2024-07-14,18:00:00,20:00:00,"Dumas Road, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,100.00,2024-07-21,2024-05-11T18:30:00.000Z,system,2023-12-18T18:30:00.000Z,system
29342441-3732-4216-96f2-d0d35ac1c020,Youth Leadership Camp,3-day camp for developing leadership skills,2024-11-29,09:00:00,11:00:00,"University Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,false,0.00,,2024-10-03T18:30:00.000Z,system,2024-04-15T18:30:00.000Z,system
29342442-a320-4ddc-b0c4-7e92d03e434b,Cricket Tournament,Annual inter-mandal cricket competition,2023-01-17,09:00:00,11:00:00,"Paldi, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2024-04-12T18:30:00.000Z,system,2023-01-01T18:30:00.000Z,system
29342443-246e-4396-ae84-47a716a19227,Swami Vatsalya Bhojan,Community feast on auspicious occasion,2024-03-14,10:00:00,14:00:00,"Adajan, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,false,0.00,,2024-10-27T18:30:00.000Z,system,2023-11-06T18:30:00.000Z,system
29342444-71dc-440a-a028-7b3153a16d70,Navkar Mantra Jaap,Collective chanting session of Navkar Mantra,2023-06-12,16:00:00,18:00:00,"Raiya Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,50.00,2023-06-19,2023-09-14T18:30:00.000Z,system,2023-03-26T18:30:00.000Z,system
29342445-6867-4fb8-b961-bb0c63269503,Book Reading Session,Monthly Jain literature reading and discussion,2024-01-16,19:00:00,23:00:00,"Satellite, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,false,0.00,,2023-02-23T18:30:00.000Z,system,2024-02-10T18:30:00.000Z,system
29342446-3056-400c-81f4-c9a4a1a411c4,Ahimsa Diwas,Non-violence awareness day program,2024-10-02,16:00:00,20:00:00,"Athwa, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,false,0.00,,2024-03-15T18:30:00.000Z,system,2024-11-02T18:30:00.000Z,system
29342447-ce0d-462e-8c97-967fde2a5fb9,Bhaktamar Stotra Path,Recitation of Bhaktamar Stotra,2023-04-04,19:00:00,21:00:00,"Kalawad Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,50.00,2023-04-11,2023-08-07T18:30:00.000Z,system,2024-05-03T18:30:00.000Z,system
29342448-2083-40f5-8774-527619032615,Paryushan Mahaparv Day 16,Annual 8-day Jain festival of fasting and forgiveness,2023-03-21,10:00:00,14:00:00,"Vastrapur, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2023-03-28,2024-06-15T18:30:00.000Z,system,2024-11-27T18:30:00.000Z,system
29342449-41f7-4952-b6a5-246564f70034,Samvatsari Pratikraman,Annual forgiveness ceremony on last day of Paryushan,2024-03-31,09:00:00,11:00:00,"Katargam, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,200.00,2024-04-07,2023-05-04T18:30:00.000Z,system,2024-03-08T18:30:00.000Z,system
29342450-f64b-4332-9a4f-600163f4499a,Mahavir Jayanti Celebration,Celebration of Lord Mahavir's birth anniversary,2024-12-11,10:00:00,13:00:00,"University Road, Rajkot",3677078a-98cb-4d73-b193-55fc664d5131,true,150.00,2024-12-18,2023-08-23T18:30:00.000Z,system,2024-01-28T18:30:00.000Z,system
29342451-99eb-4bd3-b968-b8c609040aa7,Das Lakshan Parv,10-day festival celebrating ten dharmas of Jainism,2023-04-02,19:00:00,21:00:00,"Navrangpura, Ahmedabad",27036764-62df-458f-b580-6e512cf5b9c7,true,100.00,2023-04-09,2023-11-17T18:30:00.000Z,system,2024-01-12T18:30:00.000Z,system
29342452-dc90-4131-ba8e-d02b18b98bdf,Monthly Satsang - February,Monthly spiritual gathering with discourse and bhajan,2023-11-03,10:00:00,13:00:00,"Adajan, Surat",36770777-0a4d-45b0-89d4-6191567a75c5,true,50.00,2023-11-10,2024-10-18T18:30:00.000Z,system,2024-11-24T18:30:00.000Z,system
